�ndice,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo de alimentos,ALIMENTO,Grupo_de_alimentos_ALIMENTO,Cantidad sugerida,Unidad,Peso bruto (g),Peso neto (g),Energ�a (kcal),Prote�na (g),L�pidos (g),Hidratos de carbono (g),AG saturados (g),AG monoinsaturados (g),AG poli insaturados (g),Colesterol (mg),Az�car (g),Fibra (g),Vitamina A (mg RE),Acido Asc�rbico (mg),�cido F�lico (mg),Calcio (mg),Hierro (mg),Potasio (mg),Sodio (mg),F�sforo (mg),Etanol (g),IG,Carga glic�mica
Cereales sin grasa,Cereal Quaker Multibran Pasas,Cereales sin grasa_Cereal Quaker Multibran Pasas,2/3,taza,20,20,70,2.1,1.1,13.0,0.2,0.3,0.5,0.0,4.2,2.4,19.4,1.7,6.1,ND,0.6,ND,77.1,8.0,0.0,ND,ND
Cereales sin grasa,Cereal Quaker Stila Sabor Manzana Canela,Cereales sin grasa_Cereal Quaker Stila Sabor Manzana Canela,2/3,taza,20,20,74,1.7,1.0,14.4,0.2,0.4,0.3,0.0,3.7,1.8,ND,ND,ND,ND,ND,ND,90.5,ND,0.0,ND,ND
Cereales sin grasa,Cereal sin az�car,Cereales sin grasa_Cereal sin az�car,1/2,taza,14,14,51,1.2,0.1,12.0,0.1,0.0,0.1,0.0,1.0,0.6,ND,7.5,50.0,0.5,4.1,12.5,152.0,5.5,0.0,ND,ND
Cereales sin grasa,Chapata,Cereales sin grasa_Chapata,1/3,pieza,23,23,58,2.1,0.0,12.0,0.0,0.0,0.0,0.0,0.4,0.4,ND,ND,ND,24.7,0.7,ND,144.4,ND,0.0,ND,ND
Cereales sin grasa,Codito crudo,Cereales sin grasa_Codito crudo,20,gramos,20,20,74,2.5,0.2,15.0,0.0,0.0,0.1,0.0,ND,0.1,ND,ND,5.0,5.4,0.3,39.4,0.4,ND,0.0,ND,ND
Cereales sin grasa,Coditos con crema deshidratados,Cereales sin grasa_Coditos con crema deshidratados,1 1/2,cda,15,15,61,1.9,1.5,9.6,0.0,0.0,0.0,0.0,ND,0.0,ND,ND,ND,ND,0.2,ND,122.9,ND,0.0,ND,ND
Cereales sin grasa,Couscous,Cereales sin grasa_Couscous,1/3,taza,52,52,58,2.0,0.1,12.0,0.0,0.0,0.0,0.0,0.1,0.7,ND,ND,,4.3,0.2,ND,2.6,ND,0.0,ND,ND
Cereales sin grasa,Crepas,Cereales sin grasa_Crepas,2,pieza,30,30,69,1.6,1.0,13.1,0.0,0.0,0.0,0.5,ND,0.5,ND,ND,0.2,0.3,0.3,ND,147.5,ND,0.0,ND,ND
Cereales sin grasa,Crepas para rellenar,Cereales sin grasa_Crepas para rellenar,2,pieza,30,30,69,2.3,1.4,11.6,0.0,0.0,0.0,22.5,ND,0.3,ND,ND,0.2,0.3,0.3,ND,116.4,ND,0.0,ND,ND
Cereales sin grasa,Crepas saladas,Cereales sin grasa_Crepas saladas,2,pieza,30,30,69,1.6,1.0,13.1,0.0,0.0,0.0,0.5,ND,0.5,ND,ND,0.2,0.3,0.3,ND,147.5,ND,0.0,ND,ND
Cereales sin grasa,Croutones,Cereales sin grasa_Croutones,1/2,taza,15,15,61,1.8,1.0,11.1,0.3,0.5,0.2,0.0,ND,0.8,ND,ND,3.5,11.5,0.6,18.5,104.5,17.5,0.0,ND,ND
Cereales sin grasa,Cuadritos de avena,Cereales sin grasa_Cuadritos de avena,1/3,taza,19,19,71,2.9,1.0,13.8,0.2,0.3,0.4,0.0,3.1,2.2,ND,2.0,34.7,10.3,5.4,86.0,68.3,100.7,0.0,ND,ND
Cereales sin grasa,Cuadritos de avena con salvado,Cereales sin grasa_Cuadritos de avena con salvado,1/3,taza,19,19,71,2.9,1.0,13.8,0.2,0.3,0.4,0.0,3.1,2.2,ND,2.0,34.7,10.3,5.4,86.0,68.3,100.7,0.0,ND,ND
Cereales sin grasa,C�rcuma,Cereales sin grasa_C�rcuma,160,gramos,160,138,73,5.6,0.0,13.2,0.0,0.0,0.0,0.0,ND,1.7,ND,6.9,ND,70.2,16.8,ND,ND,ND,0.0,ND,ND
Cereales sin grasa,Discos de amaranto,Cereales sin grasa_Discos de amaranto,1/7,pieza,4,4,23,2.3,0.4,15.0,0.1,0.0,0.2,0.0,ND,0.3,ND,ND,ND,ND,ND,ND,30.0,ND,0.0,ND,ND
Cereales sin grasa,Elote amarillo cocido,Cereales sin grasa_Elote amarillo cocido,1 1/2,pieza,174,66,71,2.2,0.8,16.6,0.2,0.2,0.4,0.0,2.7,1.9,14.5,4.0,30.4,1.6,0.3,140.2,ND,67.7,0.0,53.0,35.0
Cereales sin grasa,Elote amarillo congelado,Cereales sin grasa_Elote amarillo congelado,1 1/2,pieza,188,71,70,2.3,0.6,16.7,0.1,0.0,0.3,0.0,ND,2.0,ND,4.6,27.9,2.9,0.5,215.5,2.3,64.4,0.0,47.0,33.0
Cereales sin grasa,Elote amarillo crudo,Cereales sin grasa_Elote amarillo crudo,1 1/3,pieza,186,71,61,2.3,0.9,17.7,0.1,0.3,0.4,0.0,ND,2.0,15.5,4.3,32.7,1.7,0.4,175.7,12.1,62.9,0.0,ND,ND
Cereales sin grasa,Elote amarillo desgranado cocido,Cereales sin grasa_Elote amarillo desgranado cocido,1/2,taza,83,83,66,2.3,0.4,16.2,0.2,0.3,0.5,0.0,2.6,2.0,18.2,5.1,38.5,3.3,0.3,122.0,4.2,85.0,0.0,ND,ND
Cereales sin grasa,Elote amarillo desgranado crudo,Cereales sin grasa_Elote amarillo desgranado crudo,1/2,taza,83,83,66,2.3,0.4,16.2,0.2,0.3,0.5,0.0,2.6,2.0,18.2,5.1,38.5,3.3,0.3,122.0,4.2,85.0,0.0,ND,ND
Cereales sin grasa,Elote amarillo enlatado,Cereales sin grasa_Elote amarillo enlatado,1/2,taza,82,82,66,2.1,0.8,15.2,0.1,0.2,0.4,0.0,2.3,1.6,13.0,7.0,40.0,4.0,0.7,160.0,175.0,53.0,0.0,ND,ND
Cereales sin grasa,Elote blanco cocido,Cereales sin grasa_Elote blanco cocido,1 1/2,pieza,215,82,70,2.6,1.0,15.5,0.1,0.3,0.4,0.0,2.6,2.2,ND,6.5,37.5,1.6,0.4,220.1,12.2,ND,0.0,59.0,48.0
Cereales sin grasa,Elote blanco desgranado,Cereales sin grasa_Elote blanco desgranado,1/2,taza,83,83,66,2.3,0.4,16.2,0.2,0.3,0.5,0.0,2.6,2.0,18.2,5.1,38.5,3.3,0.3,122.0,4.2,85.0,0.0,ND,ND
Cereales sin grasa,Elote crudo,Cereales sin grasa_Elote crudo,1 1/2,pieza,215,82,70,2.6,1.0,15.5,0.1,0.3,0.4,0.0,2.6,2.2,ND,6.5,37.5,1.6,0.4,220.1,12.2,ND,0.0,ND,ND
Cereales sin grasa,Elote desgranado,Cereales sin grasa_Elote desgranado,1/2,taza,83,83,66,2.3,0.4,16.2,0.2,0.3,0.5,0.0,2.6,2.0,18.2,5.1,38.5,3.3,0.3,122.0,4.2,85.0,0.0,ND,ND
Cereales sin grasa,Elote enlatado,Cereales sin grasa_Elote enlatado,1/2,taza,82,82,66,2.1,0.8,15.2,0.1,0.2,0.4,0.0,2.3,1.6,13.0,7.0,40.0,4.0,0.7,160.0,175.0,53.0,0.0,46.0,38.0
Cereales sin grasa,English Muffin,Cereales sin grasa_English Muffin,1/2,pieza,29,29,67,2.2,0.5,13.1,0.1,0.1,0.3,0.0,ND,0.8,ND,ND,10.5,49.5,0.7,37.5,132.0,38.0,0.0,77.0,22.0
Cereales sin grasa,Espagueti cocido,Cereales sin grasa_Espagueti cocido,1/3,taza,46,46,57,2.5,0.2,12.3,0.0,0.0,0.1,0.0,0.4,2.1,ND,ND,2.3,6.9,0.5,20.3,1.4,25.1,0.0,44.0,20.0
Cereales sin grasa,Espagueti con espinaca cocido,Cereales sin grasa_Espagueti con espinaca cocido,1/3,taza,47,47,61,2.1,0.3,12.2,0.0,0.0,0.1,0.0,ND,0.0,7.0,ND,5.7,14.0,0.5,27.0,6.7,50.3,0.0,ND,ND
Cereales sin grasa,Espagueti crudo,Cereales sin grasa_Espagueti crudo,20,gramos,20,20,70,2.9,0.3,15.0,0.0,0.0,0.1,0.0,ND,0.1,ND,ND,11.4,8.0,0.7,43.0,1.6,ND,0.0,ND,ND
Cereales sin grasa,Espagueti integral cocido,Cereales sin grasa_Espagueti integral cocido,1/3,taza,46,46,57,2.5,0.3,12.3,0.0,0.0,0.1,0.0,ND,2.1,ND,ND,2.3,6.9,0.5,20.5,1.3,41.3,0.0,ND,ND
Cereales sin grasa,Espaguetti integral crudo,Cereales sin grasa_Espaguetti integral crudo,20,gramos,20,20,70,2.9,0.3,15.0,0.0,0.0,0.1,0.0,ND,0.1,ND,ND,11.4,8.0,0.7,43.0,1.6,ND,0.0,ND,ND
Cereales sin grasa,Espaguetti cocido,Cereales sin grasa_Espaguetti cocido,1/3,taza,47,47,58,2.5,0.3,12.4,0.0,0.0,0.1,0.0,0.4,2.1,ND,ND,2.3,7.0,0.5,20.5,1.4,25.3,0.0,44.0,21.0
Cereales sin grasa,Espaguetti con espinaca cocido,Cereales sin grasa_Espaguetti con espinaca cocido,1/3,taza,47,47,61,2.1,0.3,12.2,0.0,0.0,0.1,0.0,ND,0.0,7.0,ND,5.7,14.0,0.5,27.0,6.7,50.3,0.0,ND,ND
Cereales sin grasa,Espaguetti crudo,Cereales sin grasa_Espaguetti crudo,20,gramos,20,20,70,2.9,0.3,15.0,0.0,0.0,0.1,0.0,ND,0.1,ND,ND,11.4,8.0,0.7,43.0,1.6,ND,0.0,ND,ND
Cereales sin grasa,Espaguetti integral cocido,Cereales sin grasa_Espaguetti integral cocido,1/3,taza,47,47,58,2.5,0.3,12.4,0.0,0.0,0.1,0.0,0.4,2.1,ND,ND,2.3,7.0,0.5,20.5,1.4,25.3,0.0,ND,ND
Cereales sin grasa,F�cula de maiz,Cereales sin grasa_F�cula de maiz,2,cda,16,16,60,0.0,0.0,14.4,0.0,0.0,0.0,0.0,ND,0.0,ND,ND,ND,ND,ND,ND,ND,ND,0.0,ND,ND
Cereales sin grasa,F�cula de maiz de sabor,Cereales sin grasa_F�cula de maiz de sabor,2,cda,16,16,60,0.0,0.0,14.4,0.0,0.0,0.0,0.0,ND,0.0,ND,ND,ND,ND,ND,ND,ND,ND,0.0,ND,ND
Cereales sin grasa,Fetuccini crudo,Cereales sin grasa_Fetuccini crudo,20,gramos,20,20,70,2.7,0.5,14.1,0.1,0.1,0.3,0.0,0.6,0.6,ND,ND,3.9,4.3,0.6,38.2,3.2,31.4,0.0,ND,ND
Cereales sin grasa,Fibra Uno,Cereales sin grasa_Fibra Uno,1/2,taza,30,30,60,2.0,1.0,25.0,0.1,0.1,0.4,0.0,ND,14.2,49.1,6.0,ND,100.0,4.5,ND,105.0,ND,0.0,ND,ND
Cereales sin grasa,Fideo cocido,Cereales sin grasa_Fideo cocido,1/2,taza,20,20,74,2.5,0.2,15.0,0.0,0.0,0.1,0.0,ND,0.1,ND,ND,5.0,5.4,0.3,39.4,0.4,ND,0.0,ND,ND
Cereales sin grasa,Fideo con tomate deshidratado,Cereales sin grasa_Fideo con tomate deshidratado,2,cda,20,20,72,2.6,1.0,13.3,0.0,0.0,0.0,0.0,ND,0.0,ND,ND,ND,ND,0.3,ND,399.4,ND,0.0,ND,ND
Cereales sin grasa,Fideo crudo,Cereales sin grasa_Fideo crudo,20,gramos,20,20,72,2.7,0.5,14.5,0.1,0.1,0.3,0.0,0.7,0.7,ND,ND,4.2,4.2,0.6,37.5,1.1,32.3,0.0,ND,ND
Cereales sin grasa,Fideo seco deshidratado,Cereales sin grasa_Fideo seco deshidratado,2,cda,20,20,72,2.6,1.0,13.3,0.0,0.0,0.0,0.0,ND,0.0,ND,ND,ND,ND,0.3,ND,399.4,ND,0.0,ND,ND
Cereales sin grasa,Fideos de arroz,Cereales sin grasa_Fideos de arroz,1/2,taza,20,20,73,1.2,0.1,16.0,0.0,0.4,0.0,0.0,ND,0.3,ND,ND,ND,3.6,0.1,ND,36.4,ND,0.0,ND,ND
Cereales sin grasa,Fruitcake,Cereales sin grasa_Fruitcake,1/2,rebanada,20,20,65,0.6,1.8,12.3,0.2,0.8,0.7,0.9,8.6,0.7,3.7,ND,0.5,6.5,0.4,30.7,54.0,10.2,0.0,ND,ND
Cereales sin grasa,Fisili cocido,Cereales sin grasa_Fisili cocido,1/3,taza,46,46,57,2.5,0.2,12.3,0.0,0.0,0.1,0.0,0.4,2.1,ND,ND,2.3,6.9,0.5,20.3,1.4,25.1,0.0,ND,ND
Cereales sin grasa,Fusili crudo,Cereales sin grasa_Fusili crudo,20,gramos,20,20,70,2.9,0.3,15.0,0.0,0.0,0.1,0.0,ND,0.1,ND,ND,11.4,8.0,0.7,43.0,1.6,ND,0.0,ND,ND
Cereales sin grasa,Galleta barras de higo,Cereales sin grasa_Galleta barras de higo,1,pieza,16,16,56,0.6,1.2,11.3,0.2,0.6,0.2,0.0,ND,0.7,1.0,ND,2.0,10.0,0.5,33.0,56.0,10.0,0.0,ND,ND
Cereales sin grasa,Galleta de animalitos,Cereales sin grasa_Galleta de animalitos,6,pieza,15,15,68,1.1,2.1,11.3,0.5,1.2,0.3,0.0,3.4,0.2,ND,ND,2.1,6.4,0.4,15.0,59.5,17.1,0.0,ND,ND
Cereales sin grasa,Galleta de manzana,Cereales sin grasa_Galleta de manzana,1,pieza,15,15,50,0.5,0.0,12.0,0.0,0.0,0.0,0.0,7.0,0.5,ND,ND,ND,ND,ND,ND,30.0,ND,0.0,ND,ND
Cereales sin grasa,Galleta dulce,Cereales sin grasa_Galleta dulce,2,pieza,16,16,64,1.5,1.7,10.7,0.0,0.0,0.0,0.0,ND,0.7,ND,ND,1.1,3.5,0.3,15.2,48.5,ND,0.0,ND,ND
Cereales sin grasa,Galleta dulce sin relleno,Cereales sin grasa_Galleta dulce sin relleno,2,pieza,16,16,64,1.5,1.7,10.7,0.0,0.0,0.0,0.0,ND,0.7,ND,ND,1.1,3.5,0.3,15.2,48.5,ND,0.0,ND,ND
Cereales sin grasa,Galleta Mar�a,Cereales sin grasa_Galleta Mar�a,5,pieza,19,19,69,1.3,1.3,13.8,0.0,0.0,0.0,0.0,11.3,0.1,31.3,ND,6.3,ND,0.5,ND,110.6,ND,0.0,ND,ND
Cereales sin grasa,Galleta para sopa,Cereales sin grasa_Galleta para sopa,14,pieza,18,18,70,1.2,1.8,12.8,0.0,0.6,0.0,0.0,ND,0.0,ND,ND,ND,ND,ND,ND,268.3,ND,0.0,ND,ND
Cereales sin grasa,Galleta salada,Cereales sin grasa_Galleta salada,4,pieza,16,16,69,1.4,2.1,11.2,1.3,0.8,0.1,20.8,ND,0.0,ND,ND,1.1,7.8,0.3,19.2,176.0,ND,0.0,ND,ND
Cereales sin grasa,Galleta salada integral,Cereales sin grasa_Galleta salada integral,4,pieza,16,16,70,1.6,1.9,11.2,0.5,0.0,0.0,0.0,0.6,0.4,ND,1.0,ND,4.3,0.1,ND,108.8,ND,0.0,ND,ND
Cereales sin grasa,Galleta salada molida,Cereales sin grasa_Galleta salada molida,2 1/2,cda,15,15,65,1.3,2.0,10.5,1.2,0.8,0.1,19.5,ND,0.0,ND,ND,1.1,7.4,0.2,18.0,165.0,ND,0.0,ND,ND
Cereales sin grasa,Galletas de avena pasas,Cereales sin grasa_Galletas de avena pasas,1 1/2,pieza,15,15,61,1.3,2.0,9.5,ND,ND,ND,ND,4.7,1.3,ND,ND,ND,ND,ND,ND,57.0,ND,0.0,ND,ND
Cereales sin grasa,Galletas de ma�z horneadas sin grasa (Salmas),Cereales sin grasa_Galletas de ma�z horneadas sin grasa (Salmas),3,pieza,18,18,64,1.4,0.6,13.0,0.1,0.1,0.4,0.0,ND,1.4,ND,ND,ND,ND,ND,ND,67.9,ND,0.0,ND,ND
Cereales sin grasa,Galletas Mar�as,Cereales sin grasa_Galletas Mar�as,5,pieza,19,19,69,1.3,1.3,13.8,0.0,0.0,0.0,0.0,11.3,0.1,31.3,ND,6.3,ND,0.5,ND,110.6,ND,0.0,ND,ND
Cereales sin grasa,Galletas Mar�as azucaradas,Cereales sin grasa_Galletas Mar�as azucaradas,4,pieza,16,16,63,1.0,1.5,11.5,0.0,0.0,0.0,0.0,3.5,0.1,250.0,ND,32.8,ND,2.2,ND,98.0,ND,0.0,ND,ND
Cereales sin grasa,Gluten de trigo,Cereales sin grasa_Gluten de trigo,3,cda,18,18,68,7.5,0.3,8.5,0.0,0.0,0.0,0.0,ND,0.0,ND,ND,ND,7.2,ND,10.8,0.4,25.2,0.0,ND,ND
Cereales sin grasa,Granola baja en grasa,Cereales sin grasa_Granola baja en grasa,3,cda,18,18,70,1.5,1.1,14.4,0.2,0.2,0.7,0.0,4.4,1.1,ND,0.7,36.7,7.0,0.7,44.8,44.1,36.7,0.0,ND,ND
Cereales sin grasa,Granola con fruta seca baja en grasas,Cereales sin grasa_Granola con fruta seca baja en grasas,3,cda,18,18,69,1.3,0.8,14.4,0.0,0.3,0.2,0.0,6.2,1.0,ND,ND,ND,6.5,0.5,49.1,68.7,49.1,0.0,ND,ND
Cereales sin grasa,Granola Quaker Sabor Pasas y Miel,Cereales sin grasa_Granola Quaker Sabor Pasas y Miel,2/3,taza,20,20,76,1.9,2.0,12.4,0.2,1.1,0.5,0.0,4.9,1.9,ND,ND,ND,ND,ND,ND,3.4,ND,0.0,ND,ND
Cereales sin grasa,Habaneras ar�ndano ciruela,Cereales sin grasa_Habaneras ar�ndano ciruela,2,pieza,18,18,71,1.3,2.2,11.5,1.1,0.8,0.3,0.0,2.2,1.5,ND,ND,ND,ND,ND,ND,83.3,ND,0.0,ND,ND
Cereales sin grasa,Habaneras Bran Trigo Entero,Cereales sin grasa_Habaneras Bran Trigo Entero,2,pieza,18,18,72,1.7,2.4,11.0,ND,ND,ND,ND,0.8,1.6,ND,ND,ND,ND,ND,ND,90.0,ND,0.0,ND,ND
Cereales sin grasa,Habaneras Bran Trigo Entero,Cereales sin grasa_Habaneras Bran Trigo Entero,4,galletas,18,18,72,1.7,2.4,11.0,ND,ND,ND,ND,0.8,1.6,ND,ND,ND,ND,ND,ND,90.0,ND,0.0,ND,ND
Cereales sin grasa,Habaneras cl�sicas,Cereales sin grasa_Habaneras cl�sicas,4,galletas,18,18,74,1.6,1.4,13.8,0.7,0.4,0.3,0.0,0.1,0.7,ND,ND,39.8,ND,1.7,ND,129.2,ND,0.0,ND,ND
Cereales sin grasa,Habaneras cl�sicas,Cereales sin grasa_Habaneras cl�sicas,4,pieza,18,18,74,1.6,1.4,13.8,0.7,0.4,0.3,0.0,0.1,0.7,ND,ND,39.8,ND,1.7,ND,129.2,ND,0.0,ND,ND
Cereales sin grasa,Habaneras integrales,Cereales sin grasa_Habaneras integrales,4,galletas,18,18,69,1.9,1.6,11.9,ND,ND,ND,ND,0.3,1.5,ND,ND,ND,ND,1.7,ND,83.7,ND,0.0,ND,ND
Cereales sin grasa,Habaneras integrales,Cereales sin grasa_Habaneras integrales,4,pieza,18,18,69,1.9,1.6,11.9,ND,ND,ND,ND,0.3,1.5,ND,ND,ND,ND,1.7,ND,83.7,ND,0.0,ND,ND
Cereales sin grasa,Harina,Cereales sin grasa_Harina,2 1/2,cda,20,20,73,2.1,0.2,15.3,0.0,0.0,0.1,0.0,0.3,0.5,ND,ND,5.3,3.0,0.9,21.4,0.5,21.6,0.0,ND,ND
Cereales sin grasa,Harina blanca,Cereales sin grasa_Harina blanca,21/2,cda,20,20,73,2.1,0.2,15.3,0.0,0.0,0.1,0.0,0.3,0.5,ND,ND,5.3,3.0,0.9,21.4,0.5,21.6,0.0,ND,ND
Cereales sin grasa,Harina blanca refinada,Cereales sin grasa_Harina blanca refinada,20,gramos,20,20,73,2.1,0.2,15.3,0.0,0.0,0.1,0.0,0.3,0.5,ND,ND,5.3,3.0,0.9,21.4,0.5,21.6,0.0,ND,ND
Cereales sin grasa,Harina de alforf�n,Cereales sin grasa_Harina de alforf�n,21/2,cda,20,20,67,2.5,0.6,14.1,0.1,0.2,0.2,0.0,0.5,2.0,ND,ND,ND,ND,ND,ND,7.0,ND,0.0,ND,ND
Cereales sin grasa,Harina de amaranto,Cereales sin grasa_Harina de amaranto,2,cda,19,19,68,2.7,1.0,11.9,0.0,0.0,0.0,0.0,ND,1.3,ND,ND,ND,ND,ND,ND,0.2,ND,0.0,66.0,13.0
Cereales sin grasa,Harina de arroz,Cereales sin grasa_Harina de arroz,2,cda,20,20,72,1.4,0.6,15.1,0.1,0.2,0.2,0.0,0.2,0.9,ND,ND,3.1,2.1,0.4,57.1,1.6,66.5,0.0,ND,ND
Cereales sin grasa,Harina de arroz refinada,Cereales sin grasa_Harina de arroz refinada,2,cda,20,20,75,1.2,0.3,16.3,0.1,0.1,0.1,0.0,ND,0.5,ND,ND,0.9,2.0,0.1,15.5,ND,20.0,0.0,ND,ND
Cereales sin grasa,Harina de avena,Cereales sin grasa_Harina de avena,2,cda,16,16,65,2.3,1.5,10.5,0.3,0.5,0.5,0.0,0.1,1.0,ND,ND,ND,8.8,0.6,ND,3.0,ND,0.0,ND,ND
Cereales sin grasa,Harina de cebada,Cereales sin grasa_Harina de cebada,2,cda,18,18,62,2.2,0.3,10.9,0.0,0.0,0.0,0.0,ND,2.2,ND,ND,ND,ND,ND,ND,0.4,ND,0.0,ND,ND
Cereales sin grasa,Harina de cebada,Cereales sin grasa_Harina de cebada,21/2,cda,20,20,69,2.1,0.3,14.9,0.1,0.0,0.1,0.0,0.2,2.0,ND,ND,ND,ND,ND,ND,2.2,ND,0.0,ND,ND
Cereales sin grasa,Harina de centeno,Cereales sin grasa_Harina de centeno,2,cda,18,18,63,2.1,0.3,13.6,0.0,0.0,0.0,0.0,ND,0.2,ND,ND,ND,4.9,0.5,36.8,0.2,ND,0.0,ND,ND
Cereales sin grasa,Harina de centeno integral,Cereales sin grasa_Harina de centeno integral,2 1/2,cda,20,20,65,2.8,0.5,13.8,0.1,0.1,0.2,0.0,ND,4.5,ND,ND,12.0,11.3,1.3,145.9,0.2,126.4,0.0,ND,ND
Cereales sin grasa,Harina de ma�z,Cereales sin grasa_Harina de ma�z,2 1/2,cda,18,18,65,1.7,0.7,13.6,0.1,0.2,0.3,0.0,ND,1.7,ND,ND,4.2,25.2,1.3,53.1,0.9,39.7,0.0,ND,ND
Cereales sin grasa,Harina de ma�z nixtamalizada,Cereales sin grasa_Harina de ma�z nixtamalizada,21/2,cda,18,18,65,1.7,0.7,13.6,0.1,0.2,0.3,0.0,ND,1.7,ND,ND,4.2,25.2,1.3,53.1,0.9,39.7,0.0,ND,ND
Cereales sin grasa,Harina de ma�z para atole,Cereales sin grasa_Harina de ma�z para atole,2,cda,15,15,60,1.2,0.8,11.8,0.1,0.2,0.4,0.0,ND,0.2,0.2,ND,ND,5.3,0.4,ND,ND,ND,0.0,ND,ND
Cereales sin grasa,Harina de ma�z para tamales,Cereales sin grasa_Harina de ma�z para tamales,2,cda,14,14,62,1.4,0.7,12.7,0.1,0.2,0.3,0.0,ND,0.1,ND,ND,ND,19.4,0.5,ND,0.1,ND,0.0,ND,ND
Cereales sin grasa,Harina de malta,Cereales sin grasa_Harina de malta,2,cda,18,18,65,1.9,0.3,14.1,0.1,0.0,0.2,0.0,0.1,1.3,0.2,0.1,ND,6.7,0.8,ND,2.0,ND,0.0,ND,ND
Cereales sin grasa,Harina de papa,Cereales sin grasa_Harina de papa,2,cda,19,19,66,1.5,0.1,15.0,0.0,0.0,0.1,0.0,ND,1.1,ND,3.5,9.6,6.3,3.2,297.7,6.5,33.3,0.0,ND,ND
Cereales sin grasa,Harina de quinoa,Cereales sin grasa_Harina de quinoa,3,cda,24,24,86,3.4,0.9,16.3,0.0,0.0,0.0,0.0,0.9,2.6,ND,ND,ND,7.7,0.9,ND,ND,ND,0.0,ND,ND
Cereales sin grasa,Harina de tapioca,Cereales sin grasa_Harina de tapioca,2 1/2,cda,20,20,73,0.0,0.0,18.0,0.0,0.0,0.0,0.0,ND,0.0,ND,ND,ND,4.7,ND,ND,ND,ND,0.0,ND,ND
Cereales sin grasa,Harina de trigo,Cereales sin grasa_Harina de trigo,2 1/2,cda,20,20,71,2.0,0.2,14.9,0.0,0.0,0.1,0.0,0.3,0.5,ND,ND,5.2,3.0,0.9,20.9,0.5,21.1,0.0,41.0,8.0
Cereales sin grasa,Harina de trigo integral,Cereales sin grasa_Harina de trigo integral,2 1/2,cda,19,19,64,2.6,0.3,13.6,0.1,0.0,0.1,0.0,0.4,2.3,ND,ND,8.3,6.4,0.7,75.9,0.9,64.8,0.0,30.0,6.0
Cereales sin grasa,Harina de trigo para panificaci�n,Cereales sin grasa_Harina de trigo para panificaci�n,2,cda,17,17,62,2.1,0.3,12.4,0.0,0.0,0.1,0.0,ND,0.4,ND,ND,5.0,2.6,0.8,17.1,0.4,16.6,0.0,ND,ND
Cereales sin grasa,Harina de trigo para pasteler�a,Cereales sin grasa_Harina de trigo para pasteler�a,2 1/2,cda,17,17,62,1.4,0.1,13.3,0.0,0.0,0.1,0.0,ND,0.3,ND,ND,3.3,2.3,1.2,17.8,0.3,14.5,0.0,ND,ND
Cereales sin grasa,Harina integral,Cereales sin grasa_Harina integral,2 1/2,cda,19,19,64,2.6,0.3,13.6,0.1,0.0,0.1,0.0,0.4,2.3,ND,ND,8.3,6.4,0.7,75.9,0.9,64.8,0.0,ND,ND
Cereales sin grasa,Harina integral de centeno,Cereales sin grasa_Harina integral de centeno,2 1/2,cda,20,20,65,2.8,0.5,13.8,0.1,0.1,0.2,0.0,ND,4.5,ND,ND,12.0,11.3,1.3,145.9,0.2,126.4,0.0,ND,ND
Cereales sin grasa,Harina integral de trigo,Cereales sin grasa_Harina integral de trigo,2 1/2,cda,19,19,64,2.6,0.3,13.6,0.1,0.0,0.1,0.0,0.4,2.3,ND,ND,8.3,6.4,0.7,75.9,0.9,64.8,0.0,ND,ND
Cereales sin grasa,Harina Kamut,Cereales sin grasa_Harina Kamut,2,cda,18,18,68,2.7,0.5,13.1,0.0,0.0,0.0,0.0,ND,1.8,ND,ND,ND,ND,ND,ND,ND,ND,0.0,ND,ND
Cereales sin grasa,Harina nixtamalizada,Cereales sin grasa_Harina nixtamalizada,2 1/2,cda,18,18,67,1.3,0.8,13.8,0.0,0.2,0.2,0.0,ND,1.7,0.2,ND,ND,24.9,0.7,ND,0.2,ND,0.0,ND,ND
Cereales sin grasa,Harina para brownies,Cereales sin grasa_Harina para brownies,1 1/2,cda,13,13,60,0.7,2.3,9.0,0.5,0.7,1.2,6.7,6.3,0.0,ND,ND,ND,ND,0.2,36.6,36.6,ND,0.0,ND,ND
Cereales sin grasa,Harina para brownies baja en grasas,Cereales sin grasa_Harina para brownies baja en grasas,2,cda,18,18,61,0.9,1.2,12.6,0.2,0.2,0.2,0.0,8.4,0.5,ND,ND,ND,ND,0.5,51.4,56.1,ND,0.0,ND,ND
Cereales sin grasa,Harina para hot cakes,Cereales sin grasa_Harina para hot cakes,2,cda,18,18,61,1.7,0.2,13.3,0.0,0.0,0.1,0.0,1.9,0.5,ND,ND,1.5,6.0,0.8,18.5,243.6,122.4,0.0,ND,ND
Cereales sin grasa,Harina para reposter�a,Cereales sin grasa_Harina para reposter�a,2,cda,16,16,60,1.7,0.2,12.6,0.0,0.0,0.0,0.0,ND,0.1,ND,ND,ND,5.0,ND,14.8,0.3,ND,0.0,ND,ND
Cereales sin grasa,Harina para tamales,Cereales sin grasa_Harina para tamales,2,cda,14,14,62,1.4,0.7,12.7,0.1,0.2,0.3,0.0,ND,0.1,ND,ND,ND,19.4,0.5,ND,0.1,ND,0.0,ND,ND
