�ndice,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo de alimentos,ALIMENTO,Grupo_de_alimentos_ALIMENTO,Cantidad sugerida,Unidad,Peso bruto (g),Peso neto (g),Energ�a (kcal),Prote�na (g),L�pidos (g),Hidratos de carbono (g),AG saturados (g),AG monoinsaturados (g),AG poli insaturados (g),Colesterol (mg),Az�car (g),Fibra (g),Vitamina A (mg RE),Acido Asc�rbico (mg),�cido F�lico (mg),Calcio (mg),Hierro (mg),Potasio (mg),Sodio (mg),F�sforo (mg),Etanol (g),IG,Carga glic�mica
Verduras,Cebollitas en salmuera,Verduras_Cebollitas en salmuera,1/2,taza,95,95,24,0.9,0.2,6.7,0.0,0.0,0.0,0.0,ND,1.6,0.0,0.0,0.0,44.5,0.0,0.0,191.6,0.0,0.0,ND,ND
Verduras,Champi��n cocido entero,Verduras_Champi��n cocido entero,1/2,taza,78,78,20,2.8,0.3,3.2,0.0,0.0,0.1,0.0,ND,1.4,0.0,0.0,15.6,3.1,0.2,308.9,9.4,81.9,0.0,ND,ND
Verduras,Champi��n cocido rebanado,Verduras_Champi��n cocido rebanado,1/2,taza,70,70,18,2.5,0.2,2.8,0.0,0.0,0.1,0.0,ND,1.3,0.0,0.0,14.0,2.8,0.2,277.2,8.4,73.5,0.0,ND,ND
Verduras,Champi��n crudo entero,Verduras_Champi��n crudo entero,1,taza,96,93,20,2.9,0.3,3.1,0.1,0.0,0.2,0.0,ND,0.9,0.0,2.0,14.9,2.8,0.5,296.1,4.7,80.1,0.0,ND,ND
Verduras,Champi��n crudo rebanado,Verduras_Champi��n crudo rebanado,1 1/2,taza,105,105,23,3.2,0.4,3.4,0.1,0.0,0.2,0.0,ND,1.1,0.0,2.2,16.8,3.2,0.5,333.9,5.3,90.3,0.0,ND,ND
Verduras,Chaya,Verduras_Chaya,3,taza,147,147,47,4.4,1.5,7.4,0.0,0.0,0.0,0.0,0.0,0.0,693.8,142.6,0.0,172.0,1.5,ND,ND,ND,0.0,ND,ND
Verduras,Chayote cocido picado,Verduras_Chayote cocido picado,1/2,taza,80,80,19,0.5,0.4,4.1,0.1,0.0,0.0,0.0,ND,2.2,1.6,6.4,14.4,10.4,0.2,138.4,0.8,23.2,0.0,ND,ND
Verduras,Chayote crudo,Verduras_Chayote crudo,1/2,pieza,102,100,19,0.8,0.1,4.5,0.0,0.0,0.1,0.0,ND,1.7,0.0,7.7,93.5,17.1,0.3,125.6,2.0,18.1,0.0,ND,ND
Verduras,Chepil crudo,Verduras_Chepil crudo,2,taza,68,39,25,2.7,0.2,3.0,0.0,0.0,0.0,0.0,ND,0.9,131.5,19.7,ND,145.1,1.9,ND,ND,28.4,0.0,ND,ND
Verduras,Ch�charo cocido,Verduras_Ch�charo cocido,1/4,taza,40,40,34,2.1,0.1,6.1,0.0,0.0,0.0,0.0,48.0,2.2,16.0,5.7,25.2,10.8,0.6,108.4,1.2,46.8,0.0,3.0,ND
Verduras,Ch�charo crudo con vaina,Verduras_Ch�charo crudo con vaina,1/2,taza,73,28,22,1.5,0.1,4.0,0.0,0.0,0.0,0.0,48.0,1.4,10.5,11.0,17.9,6.9,0.4,67.2,1.4,29.8,0.0,2.0,ND
Verduras,Ch�charo en vaina cocido,Verduras_Ch�charo en vaina cocido,1/3,taza,53,53,21,1.7,0.1,3.4,0.0,0.0,0.1,0.0,48.0,1.5,27.7,25.5,15.5,22.4,1.1,128.0,2.1,29.3,0.0,2.0,ND
Verduras,Ch�charos y zanahorias congelados,Verduras_Ch�charos y zanahorias congelados,1/4,taza,48,48,25,1.6,0.2,5.3,0.0,0.0,0.1,0.0,0.0,1.6,225.6,5.3,ND,12.8,0.5,ND,37.5,ND,0.0,ND,ND
Verduras,Chicoria cruda,Verduras_Chicoria cruda,3,taza,141,121,24,1.5,0.2,4.1,0.1,0.0,0.1,0.0,ND,1.1,124.3,8.5,172.2,63.1,1.0,380.8,26.7,34.0,0.0,ND,ND
Verduras,Chilacas crudas,Verduras_Chilacas crudas,3,pieza,90,76,24,1.1,0.2,5.5,0.0,0.0,0.1,0.0,ND,0.7,6.8,134.6,17.4,30.2,3.0,257.0,5.3,ND,0.0,ND,ND
Verduras,Chilacayote crudo,Verduras_Chilacayote crudo,1 1/2,pieza,150,135,19,1.6,0.3,3.6,0.0,0.0,0.0,0.0,ND,0.4,8.1,9.5,ND,23.0,0.8,ND,ND,ND,0.0,ND,ND
Verduras,Chile ancho,Verduras_Chile ancho,6,gramos,6,6,20,0.7,0.6,3.8,0.0,0.0,0.0,0.0,0.0,0.0,123.7,4.6,ND,5.6,0.3,ND,0.0,ND,0.0,ND,ND
Verduras,Chile chllaca,Verduras_Chile chllaca,2,pieza,60,50,20,0.8,0.2,3.7,0.0,0.0,0.1,0.0,ND,0.5,48.9,89.7,11.6,20.2,2.0,171.4,3.5,ND,0.0,ND,ND
Verduras,Chile chipotle seco,Verduras_Chile chipotle seco,2,pieza,10,8,29,1.2,0.5,4.8,0.0,0.0,0.0,0.0,ND,0.6,19.3,0.0,ND,21.4,0.5,ND,ND,ND,0.0,ND,ND
Verduras,Chile coste�o,Verduras_Chile coste�o,4,pieza,64,54,17,0.9,0.1,3.9,0.0,0.0,0.1,0.0,ND,1.1,7.0,135.5,12.4,11.3,1.8,182.8,3.8,ND,0.0,ND,ND
Verduras,Chile cristalino,Verduras_Chile cristalino,4,pieza,64,54,20,0.9,0.1,3.9,0.0,0.0,0.1,0.0,ND,1.1,3.5,135.5,12.4,11.3,1.8,182.8,3.8,ND,0.0,ND,ND
Verduras,Chile cuaresme�o,Verduras_Chile cuaresme�o,2,pieza,60,50,16,0.8,0.2,3.7,0.0,0.0,0.1,0.0,ND,0.5,4.5,89.7,11.6,20.2,2.0,171.4,3.5,ND,0.0,ND,ND
Verduras,Chile de �rbol seco,Verduras_Chile de �rbol seco,4,pieza,8,7,21,0.9,0.4,4.3,0.0,0.0,0.0,0.0,ND,2.1,70.9,3.7,0.0,9.5,0.3,0.0,0.0,ND,0.0,ND,ND
Verduras,Chile en escabeche,Verduras_Chile en escabeche,150,gramos,150,150,23,0.5,1.0,6.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,ND,0.0,0.0,ND,1434.9,ND,0.0,ND,ND
Verduras,Chile guajillo,Verduras_Chile guajillo,7,gramos,7,7,21,0.8,0.6,4.0,0.0,0.0,0.0,0.0,0.0,0.6,230.1,7.0,ND,9.8,0.7,ND,0.0,ND,0.0,ND,ND
Verduras,Chile habanero,Verduras_Chile habanero,5,pieza,80,67,25,1.5,0.5,3.6,0.1,0.0,0.3,0.0,ND,1.1,19.8,63.2,15.5,12.1,1.6,228.5,4.7,ND,0.0,ND,ND
Verduras,Chile jalape�o,Verduras_Chile jalape�o,6,pieza,90,78,23,1.1,0.5,4.6,0.0,0.0,0.2,0.0,ND,2.2,31.3,34.7,36.8,7.8,0.5,168.3,0.8,24.3,0.0,ND,ND
Verduras,Chile morita,Verduras_Chile morita,7,gramos,7,7,24,0.9,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.7,29.3,5.5,ND,10.5,0.5,ND,0.0,ND,0.0,ND,ND
Verduras,Chile mulato,Verduras_Chile mulato,8,gramos,8,8,24,0.8,0.4,5.2,0.0,0.0,0.0,0.0,0.0,0.8,227.5,8.6,ND,7.4,1.0,ND,0.0,ND,0.0,ND,ND
Verduras,Chile nacho (lata),Verduras_Chile nacho (lata),92,gramos,92,92,19,0.3,0.9,4.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,ND,0.0,0.0,ND,975.2,ND,0.0,ND,ND
Verduras,Chile pasilla,Verduras_Chile pasilla,7,gramos,7,7,27,0.9,0.7,4.1,0.0,0.0,0.0,0.0,0.0,0.6,157.6,4.8,ND,10.8,0.4,ND,0.0,ND,0.0,ND,ND
Verduras,Chile poblano,Verduras_Chile poblano,1/2,pieza,40,32,15,0.8,0.2,3.3,0.0,0.0,0.1,0.0,ND,0.1,5.1,116.5,7.4,9.6,1.1,108.8,2.2,ND,0.0,ND,ND
Verduras,Chile serrano,Verduras_Chile serrano,56,gramos,56,56,22,0.9,0.3,4.0,0.0,0.0,0.1,0.0,0.0,0.8,17.1,36.4,ND,6.7,0.2,ND,3.9,ND,0.0,ND,ND
Verduras,Chiles en vinagre,Verduras_Chiles en vinagre,150,gramos,150,150,23,0.5,1.0,6.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,ND,0.0,0.0,ND,1434.9,ND,0.0,ND,ND
Verduras,Chiles secos,Verduras_Chiles secos,1,pieza,10,7,23,0.8,0.7,4.3,0.0,0.0,0.0,0.0,ND,0.0,124.6,5.2,0.0,6.4,0.4,0.0,0.0,ND,0.0,ND,ND
Verduras,Cilantro picado crudo,Verduras_Cilantro picado crudo,2,taza,120,120,28,2.6,0.6,4.4,0.0,0.3,0.0,0.0,ND,3.4,404.4,32.4,74.4,80.4,2.1,625.2,55.2,57.6,0.0,ND,ND
Verduras,Clavito (hongo) crudo,Verduras_Clavito (hongo) crudo,1,taza,75,71,28,4.3,0.4,3.8,0.0,0.0,0.0,0.0,ND,1.1,0.0,3.8,0.0,7.8,1.5,0.0,0.0,45.6,0.0,ND,ND
Verduras,Col cocida picada,Verduras_Col cocida picada,1/2,taza,75,75,17,1.0,0.0,4.1,0.0,0.0,0.1,0.0,ND,1.4,3.0,28.1,22.5,36.0,0.1,147.0,6.0,24.8,0.0,ND,ND
Verduras,Col cruda picada,Verduras_Col cruda picada,2,taza,140,112,27,1.4,0.2,6.0,0.0,0.0,0.2,0.0,ND,2.6,6.7,47.0,63.8,52.6,0.6,275.2,20.2,25.6,0.0,ND,ND
Verduras,Col morada cruda picada,Verduras_Col morada cruda picada,1,taza,70,56,17,0.8,0.1,4.1,0.0,0.0,0.0,0.0,ND,1.2,31.4,31.9,10.1,25.2,0.4,136.1,15.1,16.8,0.0,ND,ND
Verduras,Colecita de Bruselas cocida,Verduras_Colecita de Bruselas cocida,3,pieza,63,63,23,1.6,0.3,4.5,0.1,0.0,0.2,0.0,ND,1.6,24.6,39.1,37.8,22.6,0.8,199.5,13.2,35.3,0.0,ND,ND
Verduras,Coliflor cocida,Verduras_Coliflor cocida,1,taza,125,125,28,2.3,0.6,5.1,0.0,0.0,0.2,0.0,ND,2.9,1.3,55.4,55.0,20.2,0.4,177.4,18.8,40.0,0.0,ND,ND
Verduras,Coliflor cruda,Verduras_Coliflor cruda,2,taza,200,80,20,1.6,0.1,4.2,0.0,0.0,0.0,0.0,ND,2.0,0.8,37.1,45.6,17.6,0.4,242.4,24.0,35.2,0.0,ND,ND
Verduras,Coliflor verde cocida,Verduras_Coliflor verde cocida,1/2,taza,68,68,22,2.1,0.2,4.2,0.0,0.0,0.1,0.0,ND,2.2,4.7,49.0,27.7,21.8,0.5,187.7,15.2,38.5,0.0,ND,ND
Verduras,Coliflor verde cruda,Verduras_Coliflor verde cruda,2,taza,128,78,24,2.3,0.2,4.8,0.0,0.0,0.1,0.0,ND,2.5,6.2,68.8,44.5,25.8,0.6,234.2,18.0,48.4,0.0,ND,ND
Verduras,Colinabo crudo,Verduras_Colinabo crudo,1/2,pieza,85,62,20,1.1,0.1,3.8,0.0,0.0,0.0,0.0,ND,1.3,0.3,38.5,ND,14.9,0.2,217.2,12.4,ND,0.0,ND,ND
Verduras,Coraz�n de alcachofa crudo,Verduras_Coraz�n de alcachofa crudo,1,pieza,25,25,16,0.6,0.0,4.1,0.0,0.0,0.0,0.0,ND,0.3,3.0,1.5,18.5,8.0,0.2,84.8,20.0,0.0,0.0,ND,ND
Verduras,Coraz�n de lechuga crudo,Verduras_Coraz�n de lechuga crudo,1,pieza,130,124,12,1.2,0.0,4.4,0.0,0.0,0.0,0.0,ND,1.9,43.2,6.2,67.9,24.7,0.6,197.6,12.4,24.7,0.0,ND,ND
Verduras,Coraz�n de palmito crudo,Verduras_Coraz�n de palmito crudo,3,pieza,99,99,27,2.4,0.6,4.5,0.0,0.0,0.3,0.0,ND,2.4,0.0,9.0,39.0,57.0,3.1,174.0,423.0,63.0,0.0,ND,ND
Verduras,Cres�n cocido,Verduras_Cres�n cocido,1,taza,135,135,31,2.6,0.8,5.2,0.0,0.2,0.2,0.0,ND,1.0,313.2,31.1,50.0,82.4,1.1,476.6,10.8,64.8,0.0,ND,ND
Verduras,Cres�n limpio crudo,Verduras_Cres�n limpio crudo,2,taza,100,100,32,2.8,0.8,5.6,0.0,0.4,0.4,0.0,ND,1.2,346.0,69.0,80.0,81.0,1.3,606.0,14.0,76.0,0.0,ND,ND
Verduras,Crucetas crudas,Verduras_Crucetas crudas,1,taza,149,116,21,1.3,0.2,4.3,0.0,0.0,0.0,0.0,ND,0.8,25.6,27.9,0.0,90.7,6.7,0.0,0.0,0.0,0.0,ND,ND
Verduras,Cultlacoche cocido,Verduras_Cultlacoche cocido,1/3,taza,66,66,20,0.8,0.1,4.1,0.0,0.0,0.0,0.0,ND,1.2,0.0,2.6,ND,0.1,0.3,ND,0.0,2.4,0.0,ND,ND
Verduras,Echalot,Verduras_Echalot,1,pieza,40,34,25,0.9,0.0,5.8,0.0,0.0,0.0,0.0,ND,ND,20.6,2.8,11.7,12.7,0.4,114.9,4.1,20.6,0.0,ND,ND
Verduras,Edamame,Verduras_Edamame,1/7,taza,27,27,29,3.0,1.3,2.1,0.0,0.0,0.0,0.0,0.7,1.3,0.0,2.6,ND,16.2,0.6,ND,1.6,ND,0.0,ND,ND
Verduras,Ejotes cocidos picados,Verduras_Ejotes cocidos picados,1/2,taza,63,63,22,1.2,0.2,4.9,0.0,0.0,0.1,0.0,ND,2.0,21.9,6.1,20.6,27.5,0.4,91.3,0.6,18.1,0.0,ND,ND
Verduras,Elotitos de cambray,Verduras_Elotitos de cambray,8,pieza,64,64,26,2.1,0.0,4.3,0.0,0.0,0.0,0.0,ND,1.8,14.0,3.9,29.7,1.6,0.4,159.2,138.2,65.6,0.0,ND,ND
Verduras,Endivia cruda,Verduras_Endivia cruda,3,taza,150,129,22,1.6,0.3,4.3,0.1,0.0,0.1,0.0,ND,4.0,139.3,8.4,183.2,67.1,1.1,405.1,28.4,36.1,0.0,ND,ND
Verduras,Esp�rragos,Verduras_Esp�rragos,6,pieza,90,90,22,2.3,0.3,3.8,0.1,0.0,0.1,0.0,ND,2.8,49.0,10.0,131.0,18.0,0.7,144.0,10.0,49.0,0.0,ND,ND
Verduras,Espinaca cocida,Verduras_Espinaca cocida,1/2,taza,90,90,21,2.7,0.2,3.4,0.0,0.0,0.1,0.0,ND,3.2,471.6,8.8,131.0,122.0,3.2,419.0,63.0,50.0,0.0,ND,ND
Verduras,Espinaca cruda,Verduras_Espinaca cruda,2,taza,120,120,28,3.4,0.4,4.4,0.1,0.0,0.2,0.0,ND,2.6,562.8,33.7,232.8,118.8,3.3,669.6,94.3,58.8,0.0,ND,ND
Verduras,Flor de calabaza cocida,Verduras_Flor de calabaza cocida,1,taza,134,134,20,1.4,0.2,4.4,0.0,0.0,0.0,0.0,ND,1.2,116.6,6.0,54.0,50.0,1.2,142.0,8.0,46.0,0.0,ND,ND
Verduras,Flor de calabaza cruda,Verduras_Flor de calabaza cruda,4,taza,132,132,20,1.2,0.0,4.4,0.0,0.0,0.0,0.0,ND,ND,128.0,36.0,76.0,52.0,0.9,228.0,6.6,64.7,0.0,ND,ND
Verduras,Flor de color�n cocida,Verduras_Flor de color�n cocida,1/2,taza,40,40,24,1.8,0.1,4.0,0.0,0.0,0.0,0.0,ND,1.0,2.6,14.8,ND,43.2,1.0,ND,ND,ND,0.0,ND,ND
Verduras,Flor de color�n cruda,Verduras_Flor de color�n cruda,1,taza,40,40,24,1.8,0.1,4.0,0.0,0.0,0.0,0.0,ND,1.0,2.6,14.8,ND,43.2,1.0,ND,ND,ND,0.0,ND,ND
Verduras,Flor de garambullo cruda,Verduras_Flor de garambullo cruda,1 1/2,taza,60,60,23,0.5,0.1,4.9,0.0,0.0,0.0,0.0,ND,0.5,12.6,24.0,ND,55.2,2.6,ND,ND,ND,0.0,ND,ND
Verduras,Flor de maguey cruda,Verduras_Flor de maguey cruda,1 1/2,taza,60,60,21,0.5,0.1,4.4,0.0,0.0,0.0,0.0,ND,0.4,14.4,35.4,ND,68.4,0.5,ND,ND,ND,0.0,ND,ND
Verduras,Flor de yuca cruda,Verduras_Flor de yuca cruda,1 1/2,taza,50,50,19,1.3,0.2,3.0,0.0,0.0,0.0,0.0,ND,0.3,0.5,135.1,ND,47.0,0.3,ND,ND,0.4,0.0,ND,ND
Verduras,Germen de alfalfa crudo,Verduras_Germen de alfalfa crudo,3,taza,99,99,23,4.0,0.7,2.1,0.1,0.1,0.4,0.0,ND,1.9,7.9,8.1,35.6,31.7,1.0,78.0,6.0,69.0,0.0,ND,ND
Verduras,Germen de lenteja crudo,Verduras_Germen de lenteja crudo,1/4,taza,19,19,20,1.7,0.1,4.3,0.0,0.0,0.0,0.0,ND,ND,0.4,3.2,19.3,4.8,0.6,62.0,2.1,33.3,0.0,ND,ND
Verduras,Germen de soya cocido,Verduras_Germen de soya cocido,1/3,taza,31,31,25,2.7,1.4,2.1,0.2,0.3,0.8,0.0,ND,0.3,0.6,2.6,25.1,18.5,0.4,111.3,3.1,42.3,0.0,ND,ND
